#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DYNC1LI1	DYNLT3	9606.ENSP00000273130	9606.ENSP00000367841	0	0	0	0	0.056	0.836	0.900	0.626	0.993
DYNC1LI1	BICD2	9606.ENSP00000273130	9606.ENSP00000349351	0	0	0	0	0.065	0.999	0.500	0.789	0.999
DYNLT3	DYNC1LI1	9606.ENSP00000367841	9606.ENSP00000273130	0	0	0	0	0.056	0.836	0.900	0.626	0.993
EIF5	ETF1	9606.ENSP00000216554	9606.ENSP00000353741	0	0	0	0	0.424	0	0	0.626	0.775
EIF5	RASA1	9606.ENSP00000216554	9606.ENSP00000274376	0	0	0	0	0.097	0	0	0.806	0.817
ENG	TEK	9606.ENSP00000362299	9606.ENSP00000369375	0	0	0	0	0.353	0	0	0.750	0.831
EPN3	BIN1	9606.ENSP00000268933	9606.ENSP00000316779	0	0	0	0	0.070	0.091	0	0.836	0.849
EPN3	EPS15L1	9606.ENSP00000268933	9606.ENSP00000393313	0	0	0	0	0.079	0.297	0.800	0.795	0.969
EPO	CRKL	9606.ENSP00000252723	9606.ENSP00000346300	0	0	0	0	0	0	0.500	0.479	0.728
EPO	HAMP	9606.ENSP00000252723	9606.ENSP00000471894	0	0	0	0	0.075	0	0	0.904	0.907
EPO	IL3	9606.ENSP00000252723	9606.ENSP00000296870	0	0	0	0	0.063	0	0	0.955	0.956
EPS15L1	EPN3	9606.ENSP00000393313	9606.ENSP00000268933	0	0	0	0	0.079	0.297	0.800	0.795	0.969
EPS15L1	HGS	9606.ENSP00000393313	9606.ENSP00000331201	0	0	0	0	0.125	0.126	0.500	0.567	0.812
ERBB2	ITGB4	9606.ENSP00000269571	9606.ENSP00000200181	0	0	0	0	0.080	0.095	0	0.938	0.944
ERBB2	PTPN12	9606.ENSP00000269571	9606.ENSP00000248594	0	0	0	0	0	0.408	0.750	0.596	0.935
ERBB2	KRAS	9606.ENSP00000269571	9606.ENSP00000256078	0	0	0	0	0.053	0.199	0.500	0.923	0.966
ERBB2	IQGAP1	9606.ENSP00000269571	9606.ENSP00000268182	0	0	0	0	0	0.292	0	0.724	0.796
ERBB2	CRKL	9606.ENSP00000269571	9606.ENSP00000346300	0	0	0	0	0	0.388	0	0.576	0.729
ERBB2	AXL	9606.ENSP00000269571	9606.ENSP00000301178	0	0	0	0.597	0	0.091	0	0.750	0.763
ERBB2	L1CAM	9606.ENSP00000269571	9606.ENSP00000359077	0	0	0	0	0.051	0.339	0	0.673	0.777
ERBB2	FGF17	9606.ENSP00000269571	9606.ENSP00000352414	0	0	0	0	0	0	0.650	0.495	0.815
ERBB2	RASA1	9606.ENSP00000269571	9606.ENSP00000274376	0	0	0	0	0	0.508	0	0.641	0.815
ERBB2	PTGS2	9606.ENSP00000269571	9606.ENSP00000356438	0	0	0	0	0.068	0.292	0	0.760	0.828
ERBB2	BECN1	9606.ENSP00000269571	9606.ENSP00000355231	0	0	0	0	0	0.605	0	0.728	0.888
ERBB2	GRB7	9606.ENSP00000269571	9606.ENSP00000403459	0	0.048	0	0	0.443	0.840	0.500	0.990	0.999
ETF1	EIF5	9606.ENSP00000353741	9606.ENSP00000216554	0	0	0	0	0.424	0	0	0.626	0.775
ETF1	RPL26L1	9606.ENSP00000353741	9606.ENSP00000428223	0	0	0	0	0.126	0.800	0.500	0.124	0.913
ETF1	RPL30	9606.ENSP00000353741	9606.ENSP00000428085	0	0	0	0	0.427	0.800	0.500	0.069	0.939
EXOC1	IQGAP1	9606.ENSP00000370695	9606.ENSP00000268182	0	0	0	0	0.056	0.092	0	0.959	0.962
EXOSC8	UTP18	9606.ENSP00000374354	9606.ENSP00000225298	0	0	0	0	0.265	0.507	0.400	0.183	0.799
EXOSC8	MPHOSPH6	9606.ENSP00000374354	9606.ENSP00000258169	0	0	0	0	0.224	0.979	0.900	0.723	0.999
FASTKD3	MRPS22	9606.ENSP00000264669	9606.ENSP00000418008	0	0	0	0	0.182	0.329	0	0.598	0.760
FASTKD3	IARS2	9606.ENSP00000264669	9606.ENSP00000355889	0.059	0	0	0	0.103	0.368	0	0.607	0.762
FGF17	ERBB2	9606.ENSP00000352414	9606.ENSP00000269571	0	0	0	0	0	0	0.650	0.495	0.815
FGF17	TEK	9606.ENSP00000352414	9606.ENSP00000369375	0	0	0	0	0	0.168	0.650	0.521	0.848
FMR1	MYO5A	9606.ENSP00000359506	9606.ENSP00000382177	0	0	0	0	0.044	0	0	0.828	0.828
GABRE	TRAK2	9606.ENSP00000359353	9606.ENSP00000328875	0	0	0	0	0	0	0.900	0.115	0.907
GBE1	PYGB	9606.ENSP00000410833	9606.ENSP00000216962	0.115	0.001	0	0	0.807	0.193	0.952	0.721	0.997
GGT5	OPLAH	9606.ENSP00000381340	9606.ENSP00000480476	0.057	0	0	0	0.049	0	0.900	0.490	0.948
GINS1	TOPBP1	9606.ENSP00000262460	9606.ENSP00000260810	0	0	0	0	0.168	0.536	0	0.421	0.757
GINS1	MCM6	9606.ENSP00000262460	9606.ENSP00000264156	0	0	0	0	0.429	0.988	0.540	0.592	0.998
GRB7	ERBB2	9606.ENSP00000403459	9606.ENSP00000269571	0	0.048	0	0	0.443	0.840	0.500	0.990	0.999
GTF2A2	TBP	9606.ENSP00000379372	9606.ENSP00000230354	0	0	0	0	0.079	0.996	0.900	0.818	0.999
GTF2A2	GTF2E1	9606.ENSP00000379372	9606.ENSP00000283875	0	0	0	0	0.056	0.925	0.900	0.763	0.998
GTF2A2	MED16	9606.ENSP00000379372	9606.ENSP00000325612	0	0	0	0	0.052	0.812	0	0	0.814
GTF2A2	TAF11	9606.ENSP00000379372	9606.ENSP00000354633	0	0	0	0	0.067	0.819	0.900	0.514	0.990
GTF2E1	TBP	9606.ENSP00000283875	9606.ENSP00000230354	0	0	0	0	0.231	0.971	0.900	0.864	0.999
GTF2E1	MED16	9606.ENSP00000283875	9606.ENSP00000325612	0	0	0	0	0.097	0.812	0	0.069	0.828
GTF2E1	TAF11	9606.ENSP00000283875	9606.ENSP00000354633	0	0	0	0	0.067	0.905	0.900	0.261	0.992
GTF2E1	GTF2A2	9606.ENSP00000283875	9606.ENSP00000379372	0	0	0	0	0.056	0.925	0.900	0.763	0.998
HAMP	EPO	9606.ENSP00000471894	9606.ENSP00000252723	0	0	0	0	0.075	0	0	0.904	0.907
HGS	UBQLN2	9606.ENSP00000331201	9606.ENSP00000345195	0	0	0	0	0.056	0.362	0.500	0.174	0.718
HGS	EPS15L1	9606.ENSP00000331201	9606.ENSP00000393313	0	0	0	0	0.125	0.126	0.500	0.567	0.812
HMGB2	SET	9606.ENSP00000296503	9606.ENSP00000361777	0	0	0	0	0.174	0.292	0	0.553	0.716
HMGB2	ANP32A	9606.ENSP00000296503	9606.ENSP00000417864	0	0	0	0	0.184	0	0	0.724	0.765
HNF1A	NEUROG3	9606.ENSP00000438804	9606.ENSP00000242462	0	0	0	0	0.059	0	0	0.727	0.732
HNRNPH2	SRSF10	9606.ENSP00000361927	9606.ENSP00000420195	0	0	0	0	0.089	0.094	0.400	0.534	0.738
HSD11B2	CYP21A2	9606.ENSP00000316786	9606.ENSP00000496625	0	0	0	0	0.105	0.045	0.900	0.845	0.985
HSPA14	TXNDC9	9606.ENSP00000367623	9606.ENSP00000264255	0	0	0	0	0.112	0.100	0	0.678	0.720
HSPA14	DNAJA2	9606.ENSP00000367623	9606.ENSP00000314030	0.041	0	0.406	0	0.279	0.142	0.162	0.356	0.765
IARS2	FASTKD3	9606.ENSP00000355889	9606.ENSP00000264669	0.059	0	0	0	0.103	0.368	0	0.607	0.762
ICE1	PEX2	9606.ENSP00000296564	9606.ENSP00000349543	0	0	0	0	0.054	0	0.900	0	0.901
ICE1	NELFB	9606.ENSP00000296564	9606.ENSP00000339495	0	0	0	0	0.049	0	0.900	0.181	0.915
IGF2R	CPD	9606.ENSP00000349437	9606.ENSP00000225719	0	0	0	0	0.185	0	0.500	0.410	0.738
IL3	EPO	9606.ENSP00000296870	9606.ENSP00000252723	0	0	0	0	0.063	0	0	0.955	0.956
IL3	CCL11	9606.ENSP00000296870	9606.ENSP00000302234	0	0	0	0	0.075	0	0	0.780	0.788
IL3	NFIL3	9606.ENSP00000296870	9606.ENSP00000297689	0	0	0	0	0	0.627	0	0.576	0.835
IMPA1	INPP1	9606.ENSP00000408526	9606.ENSP00000376142	0.101	0	0	0	0.043	0	0.915	0.583	0.965
INPP1	IMPA1	9606.ENSP00000376142	9606.ENSP00000408526	0.101	0	0	0	0.043	0	0.915	0.583	0.965
INTS8	NIPBL	9606.ENSP00000430338	9606.ENSP00000282516	0	0	0	0	0.120	0	0.720	0.074	0.751
INTS8	NELFB	9606.ENSP00000430338	9606.ENSP00000339495	0	0	0	0	0.090	0.800	0	0.243	0.850
IQGAP1	KRAS	9606.ENSP00000268182	9606.ENSP00000256078	0	0	0	0	0.060	0.168	0.500	0.511	0.783
IQGAP1	ERBB2	9606.ENSP00000268182	9606.ENSP00000269571	0	0	0	0	0	0.292	0	0.724	0.796
IQGAP1	NPHS1	9606.ENSP00000268182	9606.ENSP00000368190	0	0	0	0	0.056	0.510	0.500	0.792	0.945
IQGAP1	EXOC1	9606.ENSP00000268182	9606.ENSP00000370695	0	0	0	0	0.056	0.092	0	0.959	0.962
ITGB4	LAMB2	9606.ENSP00000200181	9606.ENSP00000307156	0	0	0	0	0.084	0.046	0.650	0.201	0.723
ITGB4	TLN2	9606.ENSP00000200181	9606.ENSP00000453508	0	0	0	0	0.067	0.104	0.650	0.432	0.811
ITGB4	ERBB2	9606.ENSP00000200181	9606.ENSP00000269571	0	0	0	0	0.080	0.095	0	0.938	0.944
KDM6A	ATP5PB	9606.ENSP00000367203	9606.ENSP00000358737	0	0	0	0	0.247	0.618	0.270	0.129	0.792
KRAS	MSH6	9606.ENSP00000256078	9606.ENSP00000234420	0	0	0	0	0.074	0	0	0.793	0.801
KRAS	PTGS2	9606.ENSP00000256078	9606.ENSP00000356438	0	0	0	0	0.055	0.045	0	0.713	0.718
KRAS	IQGAP1	9606.ENSP00000256078	9606.ENSP00000268182	0	0	0	0	0.060	0.168	0.500	0.511	0.783
KRAS	RPS6KA3	9606.ENSP00000256078	9606.ENSP00000368884	0	0	0	0	0.099	0.157	0.900	0.420	0.950
KRAS	ERBB2	9606.ENSP00000256078	9606.ENSP00000269571	0	0	0	0	0.053	0.199	0.500	0.923	0.966
KRAS	RASA1	9606.ENSP00000256078	9606.ENSP00000274376	0	0	0	0	0.088	0.334	0.900	0.585	0.971
KRAS	SHOC2	9606.ENSP00000256078	9606.ENSP00000358464	0	0	0	0	0.096	0.587	0.900	0.759	0.989
KRAS	ARAF	9606.ENSP00000256078	9606.ENSP00000290277	0	0	0	0	0.079	0.745	0.900	0.864	0.996
KYAT3	TXNRD2	9606.ENSP00000260508	9606.ENSP00000383365	0	0	0	0	0.060	0.166	0.907	0.129	0.928
L1CAM	ERBB2	9606.ENSP00000359077	9606.ENSP00000269571	0	0	0	0	0.051	0.339	0	0.673	0.777
LAMB2	ITGB4	9606.ENSP00000307156	9606.ENSP00000200181	0	0	0	0	0.084	0.046	0.650	0.201	0.723
LAMP2	BECN1	9606.ENSP00000408411	9606.ENSP00000355231	0	0	0	0	0.055	0	0	0.793	0.796
LAMP2	ATG5	9606.ENSP00000408411	9606.ENSP00000358072	0	0	0	0	0.049	0	0	0.746	0.748
LAMP2	SNCA	9606.ENSP00000408411	9606.ENSP00000500990	0	0	0	0	0.069	0.309	0	0.588	0.712
LARP4B	RPL30	9606.ENSP00000326128	9606.ENSP00000428085	0	0	0	0	0.054	0	0.900	0	0.901
LCAT	CETP	9606.ENSP00000264005	9606.ENSP00000200676	0	0	0	0	0.114	0	0.720	0.954	0.987
LCAT	APOC3	9606.ENSP00000264005	9606.ENSP00000227667	0	0	0	0	0.106	0	0.720	0.849	0.958
LCAT	PLD3	9606.ENSP00000264005	9606.ENSP00000387050	0	0	0	0	0.086	0	0.900	0.131	0.913
LCAT	PLTP	9606.ENSP00000264005	9606.ENSP00000417138	0	0	0	0	0.055	0	0.720	0.828	0.950
LEFTY1	ACVR2B	9606.ENSP00000272134	9606.ENSP00000340361	0	0	0	0	0.048	0.126	0.500	0.832	0.921
