#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA2	ACSL1	9606.ENSP00000285093	9606.ENSP00000422607	0.057	0	0	0	0.115	0.066	0	0.760	0.788
ACAA2	ECI1	9606.ENSP00000285093	9606.ENSP00000301729	0.054	0	0	0	0.380	0.296	0.285	0.598	0.859
ACAA2	DLST	9606.ENSP00000285093	9606.ENSP00000335304	0.057	0	0	0	0.143	0	0.800	0.274	0.867
ACAA2	SUCLG2	9606.ENSP00000285093	9606.ENSP00000419325	0.057	0	0	0	0.153	0	0.819	0.266	0.880
ACAA2	HSDL2	9606.ENSP00000285093	9606.ENSP00000381785	0.117	0	0	0	0.320	0.099	0.797	0.373	0.918
ACAA2	ECHDC1	9606.ENSP00000285093	9606.ENSP00000436585	0.054	0	0	0	0.374	0.296	0.836	0.470	0.957
ACAA2	ECHS1	9606.ENSP00000285093	9606.ENSP00000357535	0.054	0	0	0	0.391	0.368	0.216	0.927	0.975
ACAA2	ACADVL	9606.ENSP00000285093	9606.ENSP00000438689	0.054	0	0	0	0.356	0.099	0.918	0.693	0.983
ACAA2	HMGCS2	9606.ENSP00000285093	9606.ENSP00000358414	0.079	0	0	0	0.522	0.480	0.932	0.795	0.996
ACADVL	ACAA2	9606.ENSP00000438689	9606.ENSP00000285093	0.054	0	0	0	0.356	0.099	0.918	0.693	0.983
ACADVL	ECI1	9606.ENSP00000438689	9606.ENSP00000301729	0.046	0	0	0	0.350	0.114	0.186	0.507	0.739
ACADVL	ECHS1	9606.ENSP00000438689	9606.ENSP00000357535	0.046	0	0	0	0.374	0.095	0.915	0.655	0.981
ACADVL	ECHDC2	9606.ENSP00000438689	9606.ENSP00000360577	0.046	0	0	0	0.394	0.091	0.185	0.510	0.752
ACADVL	HSDL2	9606.ENSP00000438689	9606.ENSP00000381785	0.107	0	0	0	0.208	0.099	0.643	0.208	0.787
ACADVL	ACSL1	9606.ENSP00000438689	9606.ENSP00000422607	0.050	0	0	0	0.153	0.071	0.189	0.778	0.841
ACIN1	HNRNPU	9606.ENSP00000262710	9606.ENSP00000491215	0	0	0	0	0.193	0	0	0.853	0.876
ACO2	RPL11	9606.ENSP00000216254	9606.ENSP00000496250	0	0	0	0	0.077	0.572	0	0.324	0.710
ACO2	TIMM44	9606.ENSP00000216254	9606.ENSP00000270538	0	0	0	0	0.163	0	0.500	0.364	0.711
ACO2	ENO1	9606.ENSP00000216254	9606.ENSP00000495530	0	0	0	0	0.135	0.192	0	0.636	0.723
ACO2	SUCLG2	9606.ENSP00000216254	9606.ENSP00000419325	0.091	0	0	0	0.137	0.095	0.394	0.480	0.735
ACO2	NDUFA10	9606.ENSP00000216254	9606.ENSP00000252711	0	0	0	0	0.452	0.096	0	0.531	0.747
ACO2	ACAA2	9606.ENSP00000216254	9606.ENSP00000285093	0	0	0	0	0.149	0.467	0	0.493	0.750
ACO2	NFU1	9606.ENSP00000216254	9606.ENSP00000387219	0	0	0	0	0.245	0.187	0	0.735	0.823
ACO2	LYRM4	9606.ENSP00000216254	9606.ENSP00000443900	0	0	0	0	0.070	0	0	0.837	0.842
ACO2	MRPL13	9606.ENSP00000216254	9606.ENSP00000306548	0	0	0	0	0.121	0.845	0	0.116	0.869
ACO2	MRPS15	9606.ENSP00000216254	9606.ENSP00000362208	0	0	0	0	0.155	0.845	0	0.130	0.876
ACO2	MRPL40	9606.ENSP00000216254	9606.ENSP00000333401	0	0	0	0	0.122	0.845	0	0.164	0.876
ACO2	NFS1	9606.ENSP00000216254	9606.ENSP00000363205	0	0	0	0	0.067	0	0	0.887	0.890
ACO2	DLST	9606.ENSP00000216254	9606.ENSP00000335304	0	0	0	0	0.742	0.095	0	0.689	0.921
ACO2	SDHB	9606.ENSP00000216254	9606.ENSP00000364649	0.081	0	0	0	0.708	0.136	0	0.775	0.940
ACO2	FH	9606.ENSP00000216254	9606.ENSP00000355518	0.115	0	0	0	0.365	0.180	0	0.902	0.949
ACO2	NDUFS2	9606.ENSP00000216254	9606.ENSP00000356972	0.042	0	0	0	0.873	0.096	0	0.644	0.955
ACO2	OGDH	9606.ENSP00000216254	9606.ENSP00000388183	0.045	0	0	0	0.766	0.131	0	0.804	0.957
ACO2	SDHA	9606.ENSP00000216254	9606.ENSP00000264932	0.098	0	0	0	0.860	0.104	0	0.807	0.975
ACO2	IDH3B	9606.ENSP00000216254	9606.ENSP00000482773	0.091	0	0	0	0.665	0.093	0.962	0.708	0.996
ACSL1	ACAA2	9606.ENSP00000422607	9606.ENSP00000285093	0.057	0	0	0	0.115	0.066	0	0.760	0.788
ACSL1	LIPF	9606.ENSP00000422607	9606.ENSP00000377900	0	0	0	0	0	0.071	0.645	0.170	0.703
ACSL1	ACADVL	9606.ENSP00000422607	9606.ENSP00000438689	0.050	0	0	0	0.153	0.071	0.189	0.778	0.841
ACSM1	HSDL2	9606.ENSP00000301956	9606.ENSP00000381785	0.106	0	0	0	0.139	0	0.586	0.171	0.700
ACVR2B	FST	9606.ENSP00000340361	9606.ENSP00000256759	0	0	0	0	0.067	0	0	0.858	0.862
ACVR2B	SMAD2	9606.ENSP00000340361	9606.ENSP00000262160	0	0	0	0	0.086	0.354	0.900	0.755	0.983
ACVR2B	LEFTY1	9606.ENSP00000340361	9606.ENSP00000272134	0	0	0	0	0.048	0.126	0.500	0.832	0.921
ACVR2B	GDF7	9606.ENSP00000340361	9606.ENSP00000272224	0	0	0	0	0.048	0.133	0.900	0.499	0.953
ACVR2B	BMP8A	9606.ENSP00000340361	9606.ENSP00000327440	0	0	0	0	0.048	0.126	0.900	0.535	0.956
ACVR2B	BMP8B	9606.ENSP00000340361	9606.ENSP00000361915	0	0	0	0	0.048	0.126	0.900	0.321	0.936
ACVR2B	LEFTY2	9606.ENSP00000340361	9606.ENSP00000355785	0	0	0	0	0.065	0.126	0.500	0.896	0.951
ACVR2B	GDF5	9606.ENSP00000340361	9606.ENSP00000363492	0	0	0	0	0.048	0.354	0.900	0.798	0.985
ACVR2B	BMP2	9606.ENSP00000340361	9606.ENSP00000368104	0	0	0	0	0.050	0.933	0.900	0.954	0.999
ADCY10	TFPI	9606.ENSP00000356825	9606.ENSP00000233156	0	0	0	0	0	0	0	0.708	0.708
ADCY10	EZR	9606.ENSP00000356825	9606.ENSP00000338934	0	0	0	0	0	0.045	0	0.810	0.810
ADCY10	PDE4A	9606.ENSP00000356825	9606.ENSP00000370078	0	0	0	0	0	0.048	0.650	0.357	0.767
ADCY10	GALT	9606.ENSP00000356825	9606.ENSP00000368119	0	0	0	0	0	0	0	0.768	0.768
ADCY10	NUDT2	9606.ENSP00000356825	9606.ENSP00000368452	0	0	0	0	0	0	0.900	0	0.900
ADCY2	PDE11A	9606.ENSP00000342952	9606.ENSP00000286063	0	0	0	0	0.055	0.126	0.670	0.140	0.734
ADCY2	PRKCD	9606.ENSP00000342952	9606.ENSP00000331602	0	0	0	0	0.067	0	0.900	0.117	0.910
ADCY2	GNAL	9606.ENSP00000342952	9606.ENSP00000334051	0	0	0	0	0.091	0.513	0.900	0.373	0.968
ADCY2	PRKCA	9606.ENSP00000342952	9606.ENSP00000408695	0	0	0	0	0	0	0.650	0.214	0.713
ADCY2	PDE6B	9606.ENSP00000342952	9606.ENSP00000420295	0	0	0	0	0.080	0.126	0.670	0.091	0.727
ADCY2	PDE4A	9606.ENSP00000342952	9606.ENSP00000370078	0	0	0	0	0.055	0.126	0.670	0.248	0.768
ADCY2	PRKCB	9606.ENSP00000342952	9606.ENSP00000496129	0	0	0	0	0.067	0	0.650	0.348	0.768
ADCY2	GNAI3	9606.ENSP00000342952	9606.ENSP00000358867	0	0	0	0	0.055	0.131	0.650	0.305	0.773
ADCY2	NUDT2	9606.ENSP00000342952	9606.ENSP00000368452	0	0	0	0	0	0	0.900	0.071	0.903
ADGRG2	GNAL	9606.ENSP00000369198	9606.ENSP00000334051	0	0	0	0	0.056	0.754	0	0.069	0.764
ADM	RAMP3	9606.ENSP00000436607	9606.ENSP00000242249	0	0	0	0	0	0.800	0.900	0.999	0.999
ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0	0	0	0	0.900	0.831	0.982
ADPGK	GCK	9606.ENSP00000312250	9606.ENSP00000223366	0	0	0	0	0	0	0.900	0.835	0.982
ADPGK	TKT	9606.ENSP00000312250	9606.ENSP00000391481	0	0	0	0	0.055	0	0.800	0.161	0.827
ADPGK	H6PD	9606.ENSP00000312250	9606.ENSP00000473348	0	0	0	0	0.075	0	0.800	0.200	0.839
ADPGK	ALDOA	9606.ENSP00000312250	9606.ENSP00000496166	0	0	0	0	0.058	0	0.876	0.349	0.917
ADPGK	HK1	9606.ENSP00000312250	9606.ENSP00000494664	0	0	0	0	0.049	0.143	0.900	0.312	0.936
ADRM1	PSMD8	9606.ENSP00000478877	9606.ENSP00000215071	0	0	0	0	0.421	0.988	0.540	0.956	0.999
ADRM1	PSMD7	9606.ENSP00000478877	9606.ENSP00000219313	0	0	0	0	0.252	0.992	0.540	0.873	0.999
ADRM1	SGTA	9606.ENSP00000478877	9606.ENSP00000221566	0	0	0	0	0.308	0.292	0	0.741	0.862
ADRM1	PSMC1	9606.ENSP00000478877	9606.ENSP00000261303	0	0	0	0	0.763	0.986	0.540	0.780	0.999
ADRM1	PSMD11	9606.ENSP00000478877	9606.ENSP00000261712	0	0	0	0	0.326	0.991	0.540	0.894	0.999
ADRM1	RPS27A	9606.ENSP00000478877	9606.ENSP00000272317	0	0	0	0	0.106	0.997	0	0.223	0.998
ADRM1	PSMD1	9606.ENSP00000478877	9606.ENSP00000309474	0	0	0	0	0.308	0.995	0.540	0.829	0.999
ADRM1	PSMD2	9606.ENSP00000478877	9606.ENSP00000310129	0	0	0	0	0.331	0.992	0.540	0.853	0.999
ADRM1	PSMC5	9606.ENSP00000478877	9606.ENSP00000310572	0	0	0	0	0.562	0.984	0.540	0.477	0.998
ADRM1	RAD23B	9606.ENSP00000478877	9606.ENSP00000350708	0	0	0	0	0.163	0.500	0	0.596	0.817
ADRM1	UBC	9606.ENSP00000478877	9606.ENSP00000441543	0	0	0	0	0.071	0.988	0	0.425	0.993
AFTPH	PICALM	9606.ENSP00000238855	9606.ENSP00000377015	0	0	0	0	0.074	0	0.720	0	0.729
AFTPH	AP3S2	9606.ENSP00000238855	9606.ENSP00000338777	0	0	0	0	0.074	0	0.900	0	0.903
AFTPH	AP4M1	9606.ENSP00000238855	9606.ENSP00000403663	0	0	0	0	0	0.091	0.900	0	0.905
AFTPH	CLTA	9606.ENSP00000238855	9606.ENSP00000242285	0	0	0	0	0.055	0.233	0.900	0	0.921
AFTPH	CLTC	9606.ENSP00000238855	9606.ENSP00000479606	0	0	0	0	0.117	0.292	0.900	0	0.932
AGMAT	FH	9606.ENSP00000364986	9606.ENSP00000355518	0	0	0	0	0.058	0	0.631	0.254	0.718
AGR2	DAG1	9606.ENSP00000391490	9606.ENSP00000442600	0	0	0	0	0	0.450	0	0.801	0.885
AHSP	CYB5R3	9606.ENSP00000307199	9606.ENSP00000354468	0	0	0	0	0.044	0	0.720	0.263	0.785
AIM2	TRIM11	9606.ENSP00000357112	9606.ENSP00000284551	0	0	0	0	0	0.294	0	0.844	0.885
AIM2	CASP4	9606.ENSP00000357112	9606.ENSP00000388566	0	0	0	0	0.128	0	0.540	0.717	0.876
AIM2	NLRP1	9606.ENSP00000357112	9606.ENSP00000460475	0	0	0	0	0.062	0	0.900	0.998	0.999
AIMP1	MARS1	9606.ENSP00000378191	9606.ENSP00000262027	0	0.899	0	0	0.287	0.978	0.900	0.733	0.999
AIMP1	DARS1	9606.ENSP00000378191	9606.ENSP00000264161	0.057	0	0	0	0.363	0.881	0.900	0.386	0.994
AIMP1	KARS1	9606.ENSP00000378191	9606.ENSP00000325448	0.045	0	0	0	0.343	0.886	0.900	0.724	0.997
AIMP1	VARS1	9606.ENSP00000378191	9606.ENSP00000364815	0.054	0	0	0	0.262	0.181	0	0.584	0.731
AKR1D1	H6PD	9606.ENSP00000242375	9606.ENSP00000473348	0.057	0	0	0	0.108	0	0	0.705	0.731
ALDH3A1	GSTM1	9606.ENSP00000411821	9606.ENSP00000311469	0	0	0	0	0.056	0.053	0.650	0.304	0.753
ALDOA	GCK	9606.ENSP00000496166	9606.ENSP00000223366	0	0	0	0	0.055	0	0.800	0.361	0.868
ALDOA	LDHAL6B	9606.ENSP00000496166	9606.ENSP00000302393	0	0	0	0	0.087	0.059	0.800	0.455	0.893
ALDOA	PGK2	9606.ENSP00000496166	9606.ENSP00000305995	0.079	0	0	0	0.103	0.071	0.312	0.578	0.737
ALDOA	ADPGK	9606.ENSP00000496166	9606.ENSP00000312250	0	0	0	0	0.058	0	0.876	0.349	0.917
ALDOA	FBP2	9606.ENSP00000496166	9606.ENSP00000364486	0.046	0	0	0	0.134	0.071	0.938	0.460	0.970
ALDOA	TKT	9606.ENSP00000496166	9606.ENSP00000391481	0.079	0	0	0	0.109	0.174	0.932	0.506	0.973
ALDOA	H6PD	9606.ENSP00000496166	9606.ENSP00000473348	0	0	0	0	0.069	0	0.800	0.534	0.905
ALDOA	HK1	9606.ENSP00000496166	9606.ENSP00000494664	0	0	0	0	0.120	0	0.800	0.685	0.939
ALDOA	ENO1	9606.ENSP00000496166	9606.ENSP00000495530	0	0	0	0	0.452	0.215	0.820	0.869	0.988
ALDOA	PFKM	9606.ENSP00000496166	9606.ENSP00000496597	0.055	0	0	0	0.124	0.292	0.932	0.788	0.990
ALPL	COL1A1	9606.ENSP00000363973	9606.ENSP00000225964	0	0	0	0	0	0	0	0.826	0.826
ALPL	IBSP	9606.ENSP00000363973	9606.ENSP00000226284	0	0	0	0	0	0	0	0.826	0.826
ALPL	BMP2	9606.ENSP00000363973	9606.ENSP00000368104	0	0	0	0	0.044	0	0	0.756	0.757
AMPD3	PDE11A	9606.ENSP00000379802	9606.ENSP00000286063	0	0	0	0	0	0	0.650	0.196	0.706
AMPD3	NT5C2	9606.ENSP00000379802	9606.ENSP00000339479	0	0	0	0	0	0	0.678	0.422	0.806
AMPH	SNX1	9606.ENSP00000348602	9606.ENSP00000261889	0	0	0	0	0	0	0	0.770	0.770
AMPH	ARHGAP26	9606.ENSP00000348602	9606.ENSP00000274498	0	0	0	0	0	0	0	0.728	0.728
AMPH	TRIP10	9606.ENSP00000348602	9606.ENSP00000320117	0	0	0	0	0.051	0.090	0	0.863	0.871
AMPH	ITSN2	9606.ENSP00000348602	9606.ENSP00000347244	0	0	0	0	0.055	0.230	0	0.884	0.908
AMPH	BIN2	9606.ENSP00000348602	9606.ENSP00000498807	0	0	0	0.806	0	0.765	0	0.077	0.774
AMPH	PNMA2	9606.ENSP00000348602	9606.ENSP00000429344	0	0	0	0	0.105	0.052	0	0.888	0.896
AMPH	GRB2	9606.ENSP00000348602	9606.ENSP00000376345	0	0	0	0	0.060	0	0	0.917	0.919
AMPH	ITSN1	9606.ENSP00000348602	9606.ENSP00000370719	0	0	0	0	0.079	0.292	0	0.900	0.929
AMPH	CLTC	9606.ENSP00000348602	9606.ENSP00000479606	0	0	0	0	0	0.722	0	0.867	0.961
ANGPT2	PDGFRA	9606.ENSP00000314897	9606.ENSP00000257290	0	0	0	0	0.054	0.115	0.650	0.591	0.864
ANGPT2	FLT4	9606.ENSP00000314897	9606.ENSP00000261937	0	0	0	0	0.084	0.115	0.650	0.938	0.980
ANGPT2	EGFR	9606.ENSP00000314897	9606.ENSP00000275493	0	0	0	0	0.049	0	0.650	0.612	0.859
ANGPT2	PECAM1	9606.ENSP00000314897	9606.ENSP00000457421	0	0	0	0	0.178	0	0	0.656	0.705
ANGPT2	IGF1R	9606.ENSP00000314897	9606.ENSP00000497069	0	0	0	0	0	0	0.650	0.284	0.738
ANK1	PLEK	9606.ENSP00000265709	9606.ENSP00000234313	0	0	0	0	0.103	0	0	0.800	0.812
ANK1	CUL3	9606.ENSP00000265709	9606.ENSP00000264414	0	0	0	0	0.042	0.334	0	0.670	0.771
ANK1	SEPTIN7	9606.ENSP00000265709	9606.ENSP00000413507	0	0	0	0	0.042	0.091	0	0.703	0.718
ANK1	CUL1	9606.ENSP00000265709	9606.ENSP00000326804	0	0	0	0	0.044	0.098	0	0.725	0.742
ANK1	TRPV1	9606.ENSP00000265709	9606.ENSP00000459962	0	0	0	0	0	0	0	0.902	0.902
ANK1	ITPR1	9606.ENSP00000265709	9606.ENSP00000306253	0	0	0	0	0.062	0.093	0.900	0.630	0.964
ANK1	OBSCN	9606.ENSP00000265709	9606.ENSP00000455507	0	0	0	0	0.072	0.793	0	0.970	0.993
ANXA2	SERPINE1	9606.ENSP00000346032	9606.ENSP00000223095	0	0	0	0	0.178	0	0	0.755	0.790
ANXA2	EGFR	9606.ENSP00000346032	9606.ENSP00000275493	0	0	0	0	0.083	0.544	0	0.908	0.958
ANXA2	CD151	9606.ENSP00000346032	9606.ENSP00000324101	0	0	0	0	0.193	0	0	0.778	0.813
ANXA2	HSPA5	9606.ENSP00000346032	9606.ENSP00000324173	0	0	0	0	0.112	0	0	0.755	0.773
ANXA2	EZR	9606.ENSP00000346032	9606.ENSP00000338934	0	0	0	0	0.145	0	0	0.691	0.725
ANXA2	CAV3	9606.ENSP00000346032	9606.ENSP00000341940	0	0	0	0	0.082	0	0.800	0.492	0.898
ANXA2	GRB2	9606.ENSP00000346032	9606.ENSP00000376345	0	0	0	0	0.081	0.627	0	0.214	0.707
ANXA2	ENO1	9606.ENSP00000346032	9606.ENSP00000495530	0	0	0	0	0.138	0	0	0.739	0.765
ANXA2	ANXA6	9606.ENSP00000346032	9606.ENSP00000346550	0	0	0.079	0.910	0.073	0	0.800	0.536	0.910
ANXA2	CD63	9606.ENSP00000346032	9606.ENSP00000447730	0	0	0	0	0.243	0	0	0.981	0.985
ANXA6	CAV3	9606.ENSP00000346550	9606.ENSP00000341940	0	0	0	0	0.053	0	0.800	0.257	0.847
ANXA6	ANXA2	9606.ENSP00000346550	9606.ENSP00000346032	0	0	0.079	0.910	0.073	0	0.800	0.536	0.910
ANXA6	PRKCA	9606.ENSP00000346550	9606.ENSP00000408695	0	0	0	0	0.054	0.287	0	0.719	0.794
AP3B1	CLTC	9606.ENSP00000255194	9606.ENSP00000479606	0	0	0	0	0.172	0	0.500	0.458	0.756
AP3B1	AP4M1	9606.ENSP00000255194	9606.ENSP00000403663	0	0	0	0	0	0	0.540	0.558	0.788
AP3B1	AP3S2	9606.ENSP00000255194	9606.ENSP00000338777	0	0	0	0	0.060	0.617	0.900	0.539	0.981
AP3S2	AFTPH	9606.ENSP00000338777	9606.ENSP00000238855	0	0	0	0	0.074	0	0.900	0	0.903
AP3S2	AP3B1	9606.ENSP00000338777	9606.ENSP00000255194	0	0	0	0	0.060	0.617	0.900	0.539	0.981
AP3S2	AP4M1	9606.ENSP00000338777	9606.ENSP00000403663	0	0	0	0	0.109	0	0.900	0.397	0.941
AP4M1	AFTPH	9606.ENSP00000403663	9606.ENSP00000238855	0	0	0	0	0	0.091	0.900	0	0.905
AP4M1	AP3B1	9606.ENSP00000403663	9606.ENSP00000255194	0	0	0	0	0	0	0.540	0.558	0.788
AP4M1	GSTM1	9606.ENSP00000403663	9606.ENSP00000311469	0	0	0	0	0	0	0	0.922	0.922
AP4M1	AP3S2	9606.ENSP00000403663	9606.ENSP00000338777	0	0	0	0	0.109	0	0.900	0.397	0.941
AP4M1	CD63	9606.ENSP00000403663	9606.ENSP00000447730	0	0	0	0	0	0	0	0.713	0.713
APCS	TTR	9606.ENSP00000255040	9606.ENSP00000237014	0	0	0	0	0.180	0	0.500	0.887	0.949
APCS	RBP4	9606.ENSP00000255040	9606.ENSP00000360522	0	0	0	0	0.072	0	0	0.768	0.775
APMAP	MTIF2	9606.ENSP00000217456	9606.ENSP00000263629	0.111	0	0	0	0.690	0	0	0.281	0.784
APOBEC3A	ELOC	9606.ENSP00000384359	9606.ENSP00000478121	0	0	0	0	0.044	0	0.650	0.211	0.713
APOC3	FOXO1	9606.ENSP00000227667	9606.ENSP00000368880	0	0	0	0	0	0	0	0.720	0.720
APOC3	TTR	9606.ENSP00000227667	9606.ENSP00000237014	0	0	0	0	0.488	0	0	0.571	0.771
APOC3	F2	9606.ENSP00000227667	9606.ENSP00000308541	0	0	0	0	0.790	0.329	0	0.275	0.889
AQP2	AQP9	9606.ENSP00000199280	9606.ENSP00000219919	0	0	0.188	0.674	0	0	0.500	0.351	0.714
AQP2	UMOD	9606.ENSP00000199280	9606.ENSP00000379438	0	0	0	0	0.740	0.109	0	0.694	0.923
AQP5	AQP9	9606.ENSP00000293599	9606.ENSP00000219919	0	0	0.174	0.695	0.050	0	0.500	0.356	0.713
AQP9	AQP2	9606.ENSP00000219919	9606.ENSP00000199280	0	0	0.188	0.674	0	0	0.500	0.351	0.714
AQP9	AQP5	9606.ENSP00000219919	9606.ENSP00000293599	0	0	0.174	0.695	0.050	0	0.500	0.356	0.713
AQR	SF3B2	9606.ENSP00000156471	9606.ENSP00000318861	0	0	0	0	0.084	0.800	0	0	0.808
AQR	RNF113A	9606.ENSP00000156471	9606.ENSP00000360497	0	0	0	0	0.049	0.800	0	0.233	0.841
AQR	DHX16	9606.ENSP00000156471	9606.ENSP00000365625	0	0	0	0	0.215	0.800	0	0.358	0.890
AQR	SNRNP200	9606.ENSP00000156471	9606.ENSP00000317123	0	0	0	0	0.259	0.989	0	0.316	0.994
AQR	SNRPB2	9606.ENSP00000156471	9606.ENSP00000246071	0	0	0	0	0.090	0.964	0.900	0.072	0.996
AQR	SNRPD2	9606.ENSP00000156471	9606.ENSP00000342374	0	0	0	0	0.063	0.967	0.900	0	0.996
AQR	DHX8	9606.ENSP00000156471	9606.ENSP00000262415	0	0	0	0	0.467	0.964	0.900	0.325	0.998
AQR	SNW1	9606.ENSP00000156471	9606.ENSP00000451129	0	0	0	0	0.068	0.978	0.900	0.162	0.998
AQR	BUD31	9606.ENSP00000156471	9606.ENSP00000386023	0	0	0	0	0.049	0.988	0.900	0.088	0.998
AQR	RBM22	9606.ENSP00000156471	9606.ENSP00000199814	0	0	0	0	0.074	0.989	0.900	0.288	0.999
AQR	CDC40	9606.ENSP00000156471	9606.ENSP00000357928	0	0	0	0	0.152	0.996	0.900	0.375	0.999
ARF5	RAB11A	9606.ENSP00000000233	9606.ENSP00000261890	0	0	0	0	0.092	0.368	0	0.666	0.792
ARF5	GBF1	9606.ENSP00000000233	9606.ENSP00000359000	0	0	0	0	0.049	0.398	0.500	0.471	0.828
ARHGAP26	AMPH	9606.ENSP00000274498	9606.ENSP00000348602	0	0	0	0	0	0	0	0.728	0.728
ARHGDIB	LAPTM5	9606.ENSP00000228945	9606.ENSP00000294507	0	0	0	0	0.559	0	0	0.556	0.795
ARHGDIB	RHOG	9606.ENSP00000228945	9606.ENSP00000339467	0	0	0	0	0.167	0.344	0.500	0.376	0.806
ARHGDIB	RAC2	9606.ENSP00000228945	9606.ENSP00000249071	0	0	0	0	0.495	0.963	0	0.650	0.992
ARHGEF6	RAC2	9606.ENSP00000250617	9606.ENSP00000249071	0	0	0	0	0.155	0.189	0.900	0.574	0.966
ARHGEF6	PAK4	9606.ENSP00000250617	9606.ENSP00000469413	0	0	0	0	0.055	0.113	0.900	0.630	0.964
ARHGEF6	PXN	9606.ENSP00000250617	9606.ENSP00000267257	0	0	0	0	0.049	0.545	0	0.944	0.974
ARHGEF6	GIT2	9606.ENSP00000250617	9606.ENSP00000347464	0	0	0	0	0.062	0.879	0	0.991	0.998
ARHGEF6	GIT1	9606.ENSP00000250617	9606.ENSP00000378338	0	0	0	0	0.044	0.873	0.900	0.997	0.999
ARL2	TUBB2B	9606.ENSP00000246747	9606.ENSP00000259818	0	0	0	0	0.047	0.472	0.400	0.135	0.704
ARL2	TUBB2A	9606.ENSP00000246747	9606.ENSP00000369703	0	0	0	0	0.057	0.645	0.400	0.135	0.803
ARNT	HSP90AA1	9606.ENSP00000351407	9606.ENSP00000335153	0	0	0	0	0.050	0.307	0	0.692	0.780
ARNT	ELOC	9606.ENSP00000351407	9606.ENSP00000478121	0	0	0	0	0.055	0.227	0	0.855	0.885
ARPC2	CAPZA1	9606.ENSP00000295685	9606.ENSP00000263168	0	0	0	0	0.274	0.436	0	0.351	0.711
ARPC2	NCKAP1L	9606.ENSP00000295685	9606.ENSP00000293373	0	0	0	0	0.081	0	0.650	0.345	0.771
ARPC2	CYFIP2	9606.ENSP00000295685	9606.ENSP00000479719	0	0	0	0	0.082	0	0.650	0.431	0.801
ARPC2	ENSP00000491073	9606.ENSP00000295685	9606.ENSP00000491073	0	0	0	0	0.087	0.569	0.360	0.310	0.802
ARPC2	CAPZB	9606.ENSP00000295685	9606.ENSP00000401010	0	0	0	0	0.445	0.599	0	0.502	0.880
ARPC2	HCLS1	9606.ENSP00000295685	9606.ENSP00000320176	0	0	0	0	0.155	0.053	0.900	0.605	0.964
ARRB1	CCR7	9606.ENSP00000409581	9606.ENSP00000246657	0	0	0	0	0.044	0.108	0.650	0.584	0.859
ARRB1	MDM2	9606.ENSP00000409581	9606.ENSP00000258149	0	0	0	0	0.054	0.850	0	0.935	0.990
ARRB1	IQGAP1	9606.ENSP00000409581	9606.ENSP00000268182	0	0	0	0	0.044	0	0.400	0.544	0.716
ARRB1	EGFR	9606.ENSP00000409581	9606.ENSP00000275493	0	0	0	0	0.060	0.621	0	0.450	0.787
