#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTL6B	PPARG	9606.ENSP00000160382	9606.ENSP00000287820	0	0	0	0	0	0.047	0.900	0.051	0.901
ACTL6B	RUVBL1	9606.ENSP00000160382	9606.ENSP00000318297	0	0	0	0	0.111	0.639	0.540	0.447	0.907
ACTL6B	RUVBL2	9606.ENSP00000160382	9606.ENSP00000473172	0	0	0	0	0.244	0.613	0.540	0.452	0.916
ACTL6B	BCL7A	9606.ENSP00000160382	9606.ENSP00000445868	0	0	0	0	0.074	0.508	0.720	0.620	0.945
ACTR1A	DCTN4	9606.ENSP00000358921	9606.ENSP00000414906	0	0	0	0	0.344	0.985	0.900	0.685	0.999
ACTR3B	NCKIPSD	9606.ENSP00000256001	9606.ENSP00000294129	0	0	0	0	0.049	0.787	0	0.084	0.798
ACTR3B	DCTN4	9606.ENSP00000256001	9606.ENSP00000414906	0	0	0	0	0	0.274	0	0.766	0.823
ACTR3B	TPPP	9606.ENSP00000256001	9606.ENSP00000353785	0	0	0	0	0.044	0	0	0.844	0.844
ADAM12	SH3PXD2A	9606.ENSP00000357668	9606.ENSP00000348215	0	0	0	0	0.061	0.150	0.500	0.896	0.952
ADAMTS7	FURIN	9606.ENSP00000373472	9606.ENSP00000483552	0	0	0	0	0.061	0	0	0.743	0.749
ADARB1	GRIA2	9606.ENSP00000353920	9606.ENSP00000296526	0	0	0	0	0.057	0	0	0.819	0.822
ADARB1	BMP7	9606.ENSP00000353920	9606.ENSP00000379204	0	0	0	0	0	0	0	0.871	0.871
ADCY8	GNB3	9606.ENSP00000286355	9606.ENSP00000229264	0	0	0	0	0.062	0.065	0.650	0.182	0.715
ADCY8	PDE1B	9606.ENSP00000286355	9606.ENSP00000243052	0	0	0	0	0	0	0.650	0.293	0.741
ADCY8	PDE6A	9606.ENSP00000286355	9606.ENSP00000255266	0	0	0	0	0.080	0.126	0.670	0.124	0.737
ADCY8	PDE10A	9606.ENSP00000286355	9606.ENSP00000355847	0	0	0	0	0.072	0.126	0.670	0.307	0.790
ADCY8	ENTPD2	9606.ENSP00000286355	9606.ENSP00000347213	0	0	0	0	0.069	0	0.900	0.115	0.910
ADCY8	RAPGEF3	9606.ENSP00000286355	9606.ENSP00000395708	0	0	0	0	0.079	0	0.900	0.489	0.948
ADCY8	CALML3	9606.ENSP00000286355	9606.ENSP00000315299	0	0	0	0	0	0.059	0.900	0.933	0.993
ADGRB1	ELMO2	9606.ENSP00000430945	9606.ENSP00000290246	0	0	0	0	0.062	0.901	0	0.881	0.988
ADGRB1	ELMO1	9606.ENSP00000430945	9606.ENSP00000312185	0	0	0	0	0.062	0.490	0	0.871	0.932
ADGRB1	BAIAP3	9606.ENSP00000430945	9606.ENSP00000324510	0	0	0	0	0.070	0.292	0	0.815	0.867
ADH1C	ALDH1A2	9606.ENSP00000426083	9606.ENSP00000249750	0.048	0.001	0	0	0.110	0	0.706	0.295	0.801
ADH1C	HPGDS	9606.ENSP00000426083	9606.ENSP00000295256	0	0	0	0	0.133	0.079	0.650	0.150	0.730
ADH1C	AOX1	9606.ENSP00000426083	9606.ENSP00000363832	0	0	0	0	0.104	0	0.900	0.304	0.932
ADH1C	ALDH7A1	9606.ENSP00000426083	9606.ENSP00000387123	0.048	0	0	0	0.125	0	0.714	0.380	0.833
ADH1C	ALDH3B1	9606.ENSP00000426083	9606.ENSP00000473990	0.048	0	0	0	0.109	0	0.706	0.390	0.828
ADH1C	CYP2E1	9606.ENSP00000426083	9606.ENSP00000440689	0.042	0	0	0	0.131	0	0.900	0.637	0.965
ADIRF	PPARG	9606.ENSP00000361083	9606.ENSP00000287820	0	0	0	0	0.104	0	0.750	0.134	0.789
ADORA1	P2RY1	9606.ENSP00000356205	9606.ENSP00000304767	0	0	0	0	0	0.312	0	0.689	0.777
ADORA1	KNG1	9606.ENSP00000356205	9606.ENSP00000493985	0	0	0	0	0	0	0.900	0.313	0.928
ADRA1D	SNTA1	9606.ENSP00000368766	9606.ENSP00000217381	0	0	0	0	0.067	0.725	0	0.099	0.749
ADRA1D	GNB3	9606.ENSP00000368766	9606.ENSP00000229264	0	0	0	0	0.075	0.238	0.500	0.302	0.721
ADRA1D	GNA15	9606.ENSP00000368766	9606.ENSP00000262958	0	0	0	0	0	0.115	0.650	0.140	0.710
ADRA1D	GNA12	9606.ENSP00000368766	9606.ENSP00000275364	0	0	0	0	0.047	0.128	0.900	0.581	0.960
ADRA1D	UTRN	9606.ENSP00000368766	9606.ENSP00000356515	0	0	0	0	0	0.735	0	0.447	0.847
ADRA2C	GNB3	9606.ENSP00000386069	9606.ENSP00000229264	0	0	0	0	0.061	0.292	0.500	0.213	0.703
ADRA2C	GNA12	9606.ENSP00000386069	9606.ENSP00000275364	0	0	0	0	0	0.128	0.900	0.079	0.912
ADRB3	LIPE	9606.ENSP00000343782	9606.ENSP00000244289	0	0	0	0	0.081	0	0	0.826	0.833
ADRB3	CIDEA	9606.ENSP00000343782	9606.ENSP00000320209	0	0	0	0	0	0	0	0.721	0.721
ADRB3	UCP2	9606.ENSP00000343782	9606.ENSP00000499695	0	0	0	0	0.119	0	0	0.748	0.768
ADRB3	FGF21	9606.ENSP00000343782	9606.ENSP00000471477	0	0	0	0	0.074	0	0	0.761	0.769
AFF3	CCNT1	9606.ENSP00000386834	9606.ENSP00000261900	0	0	0	0	0.042	0.045	0.540	0.521	0.771
AFF3	AFF4	9606.ENSP00000386834	9606.ENSP00000265343	0	0	0	0.815	0.044	0	0.540	0.656	0.835
AFF4	CCNT1	9606.ENSP00000265343	9606.ENSP00000261900	0	0	0	0	0.385	0.983	0.900	0.993	0.999
AFF4	TTF2	9606.ENSP00000265343	9606.ENSP00000358478	0	0	0	0	0	0.048	0.720	0	0.722
AFF4	ELP4	9606.ENSP00000265343	9606.ENSP00000379267	0	0	0	0	0	0.077	0.900	0	0.903
AFF4	ICE1	9606.ENSP00000265343	9606.ENSP00000296564	0	0	0	0	0.067	0	0.900	0.248	0.923
AFF4	SUPT5H	9606.ENSP00000265343	9606.ENSP00000470252	0	0	0	0	0.085	0.091	0.900	0.557	0.958
AFG3L2	MICU1	9606.ENSP00000269143	9606.ENSP00000493232	0	0	0	0	0.049	0.165	0.500	0.446	0.750
AFG3L2	MAIP1	9606.ENSP00000269143	9606.ENSP00000295079	0	0	0	0	0.074	0.227	0.500	0.445	0.774
AFG3L2	MRPL16	9606.ENSP00000269143	9606.ENSP00000300151	0	0	0	0	0.100	0.742	0	0.246	0.809
AFG3L2	MRPL22	9606.ENSP00000269143	9606.ENSP00000431040	0	0	0	0	0.121	0.761	0	0.186	0.814
AFP	TYR	9606.ENSP00000379138	9606.ENSP00000263321	0	0	0	0	0.711	0	0	0.260	0.777
AFP	CP	9606.ENSP00000379138	9606.ENSP00000264613	0	0	0	0	0.092	0	0	0.722	0.737
AFP	IGFBP1	9606.ENSP00000379138	9606.ENSP00000275525	0	0	0	0	0.631	0	0	0.572	0.835
AFP	KLK3	9606.ENSP00000379138	9606.ENSP00000314151	0	0	0	0	0.058	0.051	0	0.767	0.773
AFP	GOLM1	9606.ENSP00000379138	9606.ENSP00000373364	0	0	0	0	0	0	0	0.717	0.717
AFP	GPT	9606.ENSP00000379138	9606.ENSP00000378408	0	0	0	0	0	0	0	0.894	0.894
AGO1	DNMT3A	9606.ENSP00000362300	9606.ENSP00000264709	0	0	0	0	0.049	0	0	0.845	0.846
AGO1	TP53	9606.ENSP00000362300	9606.ENSP00000269305	0	0	0	0	0	0.234	0.500	0.306	0.710
AGO1	PPID	9606.ENSP00000362300	9606.ENSP00000303754	0	0	0	0	0.051	0.052	0	0.755	0.761
AGO1	POP7	9606.ENSP00000362300	9606.ENSP00000304353	0	0	0	0	0.049	0	0.720	0	0.722
AGO1	EZH2	9606.ENSP00000362300	9606.ENSP00000320147	0	0	0	0	0.059	0.069	0.500	0.842	0.921
AGO1	GEMIN4	9606.ENSP00000362300	9606.ENSP00000321706	0	0	0	0	0.042	0.292	0	0.702	0.780
AGO1	DCP1A	9606.ENSP00000362300	9606.ENSP00000476386	0	0	0	0	0.081	0.170	0	0.806	0.839
AGO1	EIF4E	9606.ENSP00000362300	9606.ENSP00000425561	0	0	0	0	0.050	0.085	0.900	0.833	0.983
AGO1	AGO4	9606.ENSP00000362300	9606.ENSP00000362306	0	0	0.049	0.982	0.102	0	0.720	0.975	0.993
AGO4	DNMT3A	9606.ENSP00000362306	9606.ENSP00000264709	0	0	0	0	0	0	0	0.875	0.875
AGO4	POP7	9606.ENSP00000362306	9606.ENSP00000304353	0	0	0	0	0	0	0.720	0	0.720
AGO4	SUPT5H	9606.ENSP00000362306	9606.ENSP00000470252	0	0	0	0	0	0.097	0	0.756	0.771
AGO4	EIF4E	9606.ENSP00000362306	9606.ENSP00000425561	0	0	0	0	0	0.085	0.720	0.471	0.852
AGPAT2	LMNA	9606.ENSP00000360761	9606.ENSP00000357283	0	0	0	0	0.087	0.067	0	0.722	0.742
AGPAT2	LPIN1	9606.ENSP00000360761	9606.ENSP00000397908	0	0	0	0	0	0	0.650	0.803	0.928
AGRN	FKTN	9606.ENSP00000368678	9606.ENSP00000223528	0	0	0	0	0	0	0	0.830	0.830
AGRN	LRP1	9606.ENSP00000368678	9606.ENSP00000243077	0	0	0	0	0.083	0.511	0.400	0.183	0.750
AGRN	FKRP	9606.ENSP00000368678	9606.ENSP00000326570	0	0	0	0	0.060	0	0	0.714	0.720
AGRN	BCAN	9606.ENSP00000368678	9606.ENSP00000331210	0	0	0	0	0.072	0	0.500	0.567	0.781
AGRN	UTRN	9606.ENSP00000368678	9606.ENSP00000356515	0	0	0	0	0.060	0	0	0.859	0.862
AGRN	PTPRS	9606.ENSP00000368678	9606.ENSP00000467537	0	0	0	0	0.085	0	0.700	0.862	0.959
AGXT	SPTLC1	9606.ENSP00000302620	9606.ENSP00000262554	0.053	0	0	0	0	0	0.800	0.403	0.877
AGXT	MAT1A	9606.ENSP00000302620	9606.ENSP00000361287	0.070	0	0	0	0.320	0	0.653	0.209	0.803
AGXT	PUDP	9606.ENSP00000302620	9606.ENSP00000396452	0.231	0	0	0	0	0	0.809	0.353	0.896
AGXT	GNMT	9606.ENSP00000302620	9606.ENSP00000361894	0	0	0	0	0.152	0	0.900	0.274	0.933
AGXT	GPT	9606.ENSP00000302620	9606.ENSP00000378408	0.083	0	0	0	0.160	0.091	0.900	0.488	0.957
AGXT	HAO2	9606.ENSP00000302620	9606.ENSP00000354314	0.059	0	0	0	0.360	0.109	0.922	0.555	0.978
AHCTF1	NUP107	9606.ENSP00000355465	9606.ENSP00000229179	0	0	0	0	0.095	0.988	0.500	0.989	0.999
AHCTF1	NUP133	9606.ENSP00000355465	9606.ENSP00000261396	0	0	0	0	0.166	0.979	0.500	0.989	0.999
AHCTF1	NUP205	9606.ENSP00000355465	9606.ENSP00000285968	0	0	0	0	0.197	0.884	0.500	0.680	0.983
AHCTF1	NUP93	9606.ENSP00000355465	9606.ENSP00000310668	0	0	0	0	0.067	0.884	0.500	0.835	0.989
AHCTF1	POM121	9606.ENSP00000355465	9606.ENSP00000378687	0	0	0	0	0.081	0.675	0.500	0.426	0.903
AHCY	GNMT	9606.ENSP00000217426	9606.ENSP00000361894	0	0	0	0	0.109	0	0	0.752	0.769
AHCY	MTHFR	9606.ENSP00000217426	9606.ENSP00000365770	0.115	0	0	0	0.135	0	0.155	0.758	0.822
AHCY	MAT1A	9606.ENSP00000217426	9606.ENSP00000361287	0.102	0	0	0	0.405	0.073	0	0.778	0.875
AHCY	AHCYL2	9606.ENSP00000217426	9606.ENSP00000315931	0	0	0.068	0.944	0.042	0.208	0.900	0.063	0.921
AHCY	KYAT3	9606.ENSP00000217426	9606.ENSP00000260508	0	0	0	0	0.090	0	0.900	0.237	0.924
AHCY	DNMT3A	9606.ENSP00000217426	9606.ENSP00000264709	0	0	0	0	0.055	0	0.900	0.391	0.937
AHCY	DNMT1	9606.ENSP00000217426	9606.ENSP00000352516	0	0	0	0	0.072	0	0.900	0.527	0.952
AHCYL2	KYAT3	9606.ENSP00000315931	9606.ENSP00000260508	0	0	0	0	0.067	0	0.900	0.141	0.912
AHCYL2	DNMT3A	9606.ENSP00000315931	9606.ENSP00000264709	0	0	0	0	0.060	0	0.900	0.158	0.913
AHCYL2	MAT1A	9606.ENSP00000315931	9606.ENSP00000361287	0.102	0	0	0	0.400	0.071	0	0.522	0.729
AHCYL2	DNMT1	9606.ENSP00000315931	9606.ENSP00000352516	0	0	0	0	0	0	0.900	0.232	0.919
AK1	TPK1	9606.ENSP00000223836	9606.ENSP00000353165	0	0	0	0	0.042	0	0.900	0.244	0.921
AK1	ENTPD2	9606.ENSP00000223836	9606.ENSP00000347213	0	0	0	0	0.055	0	0.907	0.220	0.925
AKAP1	AKAP9	9606.ENSP00000478212	9606.ENSP00000348573	0	0	0	0	0.056	0	0	0.872	0.874
AKAP1	PRKAR1B	9606.ENSP00000478212	9606.ENSP00000385749	0	0	0	0	0.059	0.292	0.500	0.266	0.722
AKAP1	ALDH7A1	9606.ENSP00000478212	9606.ENSP00000387123	0	0	0	0	0.047	0	0	0.895	0.895
AKAP1	RAPGEF3	9606.ENSP00000478212	9606.ENSP00000395708	0	0	0	0	0	0	0	0.957	0.957
AKAP8L	RNF43	9606.ENSP00000380557	9606.ENSP00000463069	0	0	0	0	0	0.292	0	0.934	0.951
AKAP9	SNTA1	9606.ENSP00000348573	9606.ENSP00000217381	0	0	0	0	0	0.069	0	0.814	0.819
AKAP9	CEP135	9606.ENSP00000348573	9606.ENSP00000257287	0	0	0	0	0.077	0.141	0	0.672	0.717
AKAP9	CALML3	9606.ENSP00000348573	9606.ENSP00000315299	0	0	0	0	0	0.178	0	0.769	0.802
AKAP9	SCN5A	9606.ENSP00000348573	9606.ENSP00000328968	0	0	0	0	0	0.061	0	0.766	0.771
AKAP9	KCNJ5	9606.ENSP00000348573	9606.ENSP00000433295	0	0	0	0	0	0.087	0	0.758	0.769
AKAP9	PDE4DIP	9606.ENSP00000348573	9606.ENSP00000358363	0	0	0	0	0.049	0.696	0	0.928	0.977
AKR1B10	HKDC1	9606.ENSP00000352584	9606.ENSP00000346643	0	0.003	0	0	0.159	0	0.800	0.445	0.898
AKR1B10	DHRS9	9606.ENSP00000352584	9606.ENSP00000389241	0	0	0	0	0.126	0	0	0.765	0.786
AKR1B10	DHFR	9606.ENSP00000352584	9606.ENSP00000396308	0.041	0	0	0	0.103	0	0.900	0.073	0.909
AKR1B10	ALDH7A1	9606.ENSP00000352584	9606.ENSP00000387123	0	0	0	0	0.087	0.069	0.910	0.225	0.932
ALDH1A2	CYP26B1	9606.ENSP00000249750	9606.ENSP00000001146	0	0	0	0	0.067	0.045	0.910	0.875	0.988
ALDH1A2	CYP2C9	9606.ENSP00000249750	9606.ENSP00000260682	0	0	0	0	0.057	0.045	0.910	0.072	0.914
ALDH1A2	CYP3A4	9606.ENSP00000249750	9606.ENSP00000498939	0	0.003	0	0	0.084	0.045	0.910	0.137	0.923
ALDH1A2	DHRS9	9606.ENSP00000249750	9606.ENSP00000389241	0	0	0	0	0.069	0	0.900	0.309	0.930
ALDH1A2	AOX1	9606.ENSP00000249750	9606.ENSP00000363832	0	0	0	0	0.112	0	0.900	0.360	0.938
ALDH1L1	GFAP	9606.ENSP00000273450	9606.ENSP00000253408	0	0	0	0	0.100	0	0	0.752	0.767
ALDH1L1	S100B	9606.ENSP00000273450	9606.ENSP00000291700	0	0	0	0	0.067	0	0	0.697	0.705
